# t [yrs], x [au], y [au], vx [au/yrs], vy [au/yrs]
0.000000000000000000e+00,0.000000000000000000e+00,9.832899999999999974e-01,-6.389069387012315637e+00,0.000000000000000000e+00
7.000000000000000666e-02,-4.320470586509719269e-01,8.849849526655403364e-01,-5.751154949245336212e+00,-2.758613347953686290e+00
1.400000000000000133e-01,-7.782094035433710921e-01,6.105648490283877017e-01,-3.981298965149425051e+00,-4.947174096653327524e+00
2.100000000000000200e-01,-9.716059575546220906e-01,2.160451331894230331e-01,-1.463926755977839278e+00,-6.138064343735407213e+00
2.800000000000000266e-01,-9.775992682856643468e-01,-2.203935952100431472e-01,1.284765353592838277e+00,-6.133616633103041060e+00
3.500000000000000333e-01,-7.986186343966087398e-01,-6.153703835717918569e-01,3.740729880039560307e+00,-4.979600235667745345e+00
4.200000000000000400e-01,-4.710927295882776922e-01,-8.961057963144262173e-01,5.469112244519044097e+00,-2.923482327513206691e+00
4.900000000000000466e-01,-5.698487796551338080e-02,-1.012314877717799044e+00,6.181523365082338906e+00,-3.493509020103018337e-01
5.600000000000000533e-01,3.675064910798906403e-01,-9.434314846947219335e-01,5.762035669490200185e+00,2.288118622823105408e+00
6.300000000000001155e-01,7.243834326521552125e-01,-7.013941423160893196e-01,4.275538757955649416e+00,4.524628226871927339e+00
7.000000000000000666e-01,9.464783117925095191e-01,-3.292087768345485221e-01,1.965091205364376759e+00,5.947175321668877856e+00
7.700000000000000178e-01,9.894019286309909678e-01,1.049478394374477874e-01,-7.666178321276477803e-01,6.261053688504928161e+00
8.400000000000000799e-01,8.412474587012155336e-01,5.184783883772298152e-01,-3.405333556126785677e+00,5.359743703257096925e+00
9.100000000000001421e-01,5.275173823517872451e-01,8.295815045087423512e-01,-5.414497201582422647e+00,3.378009018475209402e+00
9.800000000000000933e-01,1.084815467508905562e-01,9.746486393446606167e-01,-6.358693210992970357e+00,6.956017229721997985e-01
1.050000000000000044e+00,-3.323102540183573983e-01,9.233770070489272230e-01,-6.024796491781454044e+00,-2.133557823389249819e+00
