# t [yrs], x [au], y [au], vx [au/yrs], vy [au/yrs]
0.000000000000000000e+00,0.000000000000000000e+00,9.832899999999999974e-01,-6.389069387012315637e+00,0.000000000000000000e+00
2.999999999999999889e-02,-1.904950017906772430e-01,9.650882696245327574e-01,-6.268593439116386890e+00,-1.216720405216537682e+00
5.999999999999999778e-02,-3.738807400380290691e-01,9.109788785078744011e-01,-5.915480335802509870e+00,-2.385434914613679069e+00
8.999999999999999667e-02,-5.433787210903672227e-01,8.230814988684695965e-01,-5.344843469119163082e+00,-3.461178942066462039e+00
1.199999999999999956e-01,-6.927984204927286616e-01,7.048016341163263476e-01,-4.580612192131384930e+00,-4.403568660950202052e+00
1.499999999999999944e-01,-8.167813806604897753e-01,5.606662458316546971e-01,-3.654091221662803868e+00,-5.178532536920720020e+00
1.799999999999999933e-01,-9.109969362997276665e-01,3.961144143081305469e-01,-2.602203385398661695e+00,-5.759561035723523403e+00
2.099999999999999922e-01,-9.722825715807058566e-01,2.172581994292212271e-01,-1.465584375933642880e+00,-6.128438025929563437e+00
2.399999999999999911e-01,-9.987268602522366701e-01,3.062906088350528244e-02,-2.866864111255584824e-01,-6.275476409425172264e+00
2.700000000000000178e-01,-9.896972304837698964e-01,-1.570761948655830798e-01,8.919830742337693241e-01,-6.199325654671064889e+00
2.999999999999999889e-01,-9.458179883873929494e-01,-3.392384519374627150e-01,2.029402487641581487e+00,-5.906445608724841811e+00
3.299999999999999600e-01,-8.689059565055197165e-01,-5.095398184068418157e-01,3.087313985881404044e+00,-5.410349194910326176e+00
3.599999999999999867e-01,-7.618718004987694581e-01,-6.621621777347863613e-01,4.031232322072470176e+00,-4.730709646690119285e+00
3.900000000000000133e-01,-6.285948547622521865e-01,-7.919579153945248695e-01,4.831206449923350021e+00,-3.892410706231338668e+00
4.199999999999999845e-01,-4.737783199936269618e-01,-8.945920059476929476e-01,5.462372831213894386e+00,-2.924595793924875231e+00
4.499999999999999556e-01,-3.027904060003357989e-01,-9.666559768450081469e-01,5.905346528104119308e+00,-1.859748766938458919e+00
4.799999999999999822e-01,-1.214956080971248964e-01,-1.005754918240889140e+00,6.146494984199884826e+00,-7.328175325897601233e-01
5.100000000000000089e-01,6.392094520896760002e-02,-1.010568774156070049e+00,6.178131939924432992e+00,4.196257194575496730e-01
5.400000000000000355e-01,2.471340926737727872e-01,-9.808887606950299487e-01,5.998657106422625063e+00,1.560206628526679573e+00
5.699999999999999512e-01,4.218627659014865805e-01,-9.176290620905268591e-01,5.612652646739877405e+00,2.651579623285325038e+00
5.999999999999999778e-01,5.820563128634896888e-01,-8.228131140252832321e-01,5.030931511527644062e+00,3.657296384544228118e+00
6.300000000000000044e-01,7.220813017503997511e-01,-6.995329608496945184e-01,4.270516471960701388e+00,4.542737005525220972e+00
6.599999999999999201e-01,8.369062245292877567e-01,-5.518795406807324166e-01,3.354513644454158783e+00,5.276119740055570162e+00
6.899999999999999467e-01,9.222802431387530087e-01,-3.848414875832114612e-01,2.311832131610460195e+00,5.829589958862315235e+00
7.199999999999999734e-01,9.749005492177168497e-01,-2.041703187954972687e-01,1.176694313073869624e+00,6.180368015777609969e+00
7.500000000000000000e-01,9.925612307616166197e-01,-1.621085167505062485e-02,-1.211809811405917259e-02,6.311910348502803636e+00
7.800000000000000266e-01,9.742750254585942349e-01,1.723025300051663766e-01,-1.212326263659787795e+00,6.215010805463657029e+00
8.099999999999999423e-01,9.203583295328228164e-01,3.544805654269658213e-01,-2.379545712319714568e+00,5.888743983287103134e+00
8.399999999999999689e-01,8.324696954715915531e-01,5.235383335006794647e-01,-3.468992790655075709e+00,5.341134791022830619e+00
8.699999999999999956e-01,7.135931323046151853e-01,6.730689977713785188e-01,-4.437446600149559828e+00,4.589434688750125169e+00
8.999999999999999112e-01,5.679600339567085765e-01,7.973186686153651559e-01,-5.245357856362938165e+00,3.659900408921316295e+00
9.299999999999999378e-01,4.009074978022137969e-01,8.914463407602059020e-01,-5.858951957069817418e+00,2.587008007418099886e+00
9.599999999999999645e-01,2.186758556757203154e-01,9.517516467723041718e-01,-6.252144743007669980e+00,1.412091756351763427e+00
9.899999999999999911e-01,2.815381914882572612e-02,9.758538549772119985e-01,-6.408085232372745743e+00,1.814661774352446244e-01
1.020000000000000018e+00,-1.634150867851887901e-01,9.628083269390651511e-01,-6.320165021782642611e+00,-1.055841691247290326e+00
