# t [yrs], x [au], y [au], vx [au/yrs], vy [au/yrs]
0.000000000000000000e+00,0.000000000000000000e+00,9.832899999999999974e-01,-6.389069387012315637e+00,0.000000000000000000e+00
5.000000000000000278e-02,-3.141379653800389637e-01,9.335541805125455728e-01,-6.048831303270405968e+00,-2.001202852551908329e+00
1.000000000000000056e-01,-5.957974984016449760e-01,7.882344740341024059e-01,-5.094676537080959022e+00,-3.781707450244133462e+00
1.500000000000000222e-01,-8.167287090807329175e-01,5.630285738206772805e-01,-3.637570069269310480e+00,-5.160093113156260181e+00
2.000000000000000111e-01,-9.555234425999554748e-01,2.815156565868329741e-01,-1.836904442979576446e+00,-6.006161869343746851e+00
2.500000000000000000e-01,-9.994921011444561909e-01,-2.767157417919791085e-02,1.218376637252207573e-01,-6.249807814106011605e+00
3.000000000000000444e-01,-9.454431168358994331e-01,-3.338907378091094391e-01,2.047826451443483187e+00,-5.881103843618102012e+00
3.500000000000000333e-01,-7.995194475947139390e-01,-6.073831489005427908e-01,3.761472882535962903e+00,-4.944753607365762527e+00
4.000000000000000222e-01,-5.763171966300258964e-01,-8.218137830941926181e-01,5.106549778251009641e+00,-3.532013333195809679e+00
4.500000000000000111e-01,-2.974873552652316233e-01,-9.563874159089058580e-01,5.958967687765466259e+00,-1.772121384689871348e+00
5.000000000000000000e-01,1.005029822402192519e-02,-9.975391779435316408e-01,6.233798011233949943e+00,1.760981903329204012e-01
5.500000000000000444e-01,3.162273296608095197e-01,-9.402001240380637448e-01,5.891823758742049222e+00,2.133003469306075317e+00
6.000000000000000888e-01,5.902718992748312576e-01,-7.885891396735907888e-01,4.946024291868850398e+00,3.908631740055100501e+00
6.500000000000000222e-01,8.034612551666423519e-01,-5.564058816085168946e-01,3.467141160432028357e+00,5.316520206021332129e+00
7.000000000000000666e-01,9.320866420056234114e-01,-2.662294798739461288e-01,1.586058675507877380e+00,6.191877765993189620e+00
7.500000000000000000e-01,9.603931177685758325e-01,5.208991315110300668e-02,-5.103691778464047868e-01,6.413552608543798605e+00
8.000000000000000444e-01,8.830815006025474201e-01,3.641744089379522209e-01,-2.593426676988916491e+00,5.926737809363321396e+00
8.500000000000000888e-01,7.068267931310223684e-01,6.349057013936489913e-01,-4.418071954861350292e+00,4.760735681613036618e+00
9.000000000000000222e-01,4.502795569145814358e-01,8.328432235177148923e-01,-5.757496131269894235e+00,3.034938875662719582e+00
9.500000000000000666e-01,1.422489694601602461e-01,9.345475003737317987e-01,-6.439752131814265645e+00,9.480667081917908412e-01
1.000000000000000000e+00,-1.818081454696126031e-01,9.279454118051612133e-01,-6.376898911231456246e+00,-1.249257954320009301e+00
