# t [yrs], x [au], y [au], vx [au/yrs], vy [au/yrs]
0.000000000000000000e+00,0.000000000000000000e+00,9.832899999999999974e-01,-6.389069387012315637e+00,0.000000000000000000e+00
1.000000000000000056e-01,-5.943636152072392376e-01,7.862871399452789900e-01,-5.110053530515924258e+00,-3.798318367989443001e+00
2.000000000000000111e-01,-9.524988626172335993e-01,2.768085113102167760e-01,-1.835839438655329392e+00,-6.048114113645663537e+00
3.000000000000000444e-01,-9.387141859357155393e-01,-3.410685735715309752e-01,2.082008742220300856e+00,-5.915271646834693975e+00
4.000000000000000222e-01,-5.651814249329998319e-01,-8.284220958841133076e-01,5.141700294527540294e+00,-3.534468792602491138e+00
5.000000000000000000e-01,2.222212932708378386e-02,-1.001758787794872374e+00,6.236815147250526437e+00,1.708798773791500025e-01
6.000000000000000888e-01,6.002362481480479905e-01,-7.946439591876760522e-01,4.956180285462467694e+00,3.844461724800753988e+00
7.000000000000000666e-01,9.450119154563131341e-01,-2.813729002520625189e-01,1.706392063189376529e+00,6.095047828670267620e+00
8.000000000000000444e-01,9.136297721545783013e-01,3.418187797459815158e-01,-2.326268080516200598e+00,5.952410518596632727e+00
9.000000000000000222e-01,5.087237547312508656e-01,8.231373964540580346e-01,-5.500294645701067964e+00,3.339151746517152741e+00
1.000000000000000000e+00,-1.080229145988690354e-01,9.587958310718607269e-01,-6.404808376483709154e+00,-7.175371638219778525e-01
