# t [yrs], x [au], y [au], vx [au/yrs], vy [au/yrs]
0.000000000000000000e+00,0.000000000000000000e+00,9.832899999999999974e-01,-6.389069387012315637e+00,0.000000000000000000e+00
5.000000000000000278e-02,-3.139257857539173302e-01,9.327065193378700769e-01,-6.060659009236236017e+00,-2.004904098469544760e+00
1.000000000000000056e-01,-5.956586281436089259e-01,7.864040405249250743e-01,-5.113949208456956441e+00,-3.794920498190388791e+00
1.500000000000000222e-01,-8.167425558918468553e-01,5.599540735856317619e-01,-3.657717430829429794e+00,-5.183832183257135462e+00
2.000000000000000111e-01,-9.555732316746535782e-01,2.770336629950787000e-01,-1.853700159087264154e+00,-6.036564072576735107e+00
2.500000000000000000e-01,-9.994706649907174612e-01,-3.348637552299421616e-02,1.069504557651594912e-01,-6.281570554958337382e+00
3.000000000000000444e-01,-9.455394619192916128e-01,-3.408042744762977971e-01,2.027764416681284487e+00,-5.912678629332022595e+00
3.500000000000000333e-01,-8.004037422216778719e-01,-6.153224480483482361e-01,3.727346870420535474e+00,-4.982660959237736442e+00
4.000000000000000222e-01,-5.790611349772799565e-01,-8.313264902214757557e-01,5.054086820522304180e+00,-3.591998564400939564e+00
4.500000000000000111e-01,-3.031447795962017300e-01,-9.690498545350036963e-01,5.895272827526581771e+00,-1.875983590266279810e+00
5.000000000000000000e-01,1.156583559076218570e-03,-1.016096766456602962e+00,6.181916391132642907e+00,7.834557122393892570e-03
5.500000000000000444e-01,3.053458235496626649e-01,-9.682632829852136913e-01,5.890864033262888988e+00,1.891146916626643693e+00
6.000000000000000888e-01,5.809286049032911237e-01,-8.298054544807823563e-01,5.045383429376576245e+00,3.605607683820458487e+00
6.500000000000000222e-01,8.017263982529028166e-01,-6.131744559455684085e-01,3.714647917076934647e+00,4.993579526335613750e+00
7.000000000000000666e-01,9.461285983297176294e-01,-3.381966129307469315e-01,2.011672705243229053e+00,5.919694754979296647e+00
7.500000000000000000e-01,9.991787622290689841e-01,-3.064761500885826440e-02,8.849685154222153294e-02,6.283499471863461139e+00
8.000000000000000444e-01,9.543177888810089327e-01,2.798197601437494297e-01,-1.872984210748076084e+00,6.032442609442725256e+00
8.500000000000000888e-01,8.145309942864799035e-01,5.623661867430200800e-01,-3.675835950199725310e+00,5.173171891456579630e+00
9.000000000000000222e-01,5.926077597281707021e-01,7.881138206689247694e-01,-5.128620113086785892e+00,3.777951702468512529e+00
9.500000000000000666e-01,3.102687178503226728e-01,9.334193812216226016e-01,-6.069623061498069738e+00,1.982725872156056779e+00
1.000000000000000000e+00,-3.924661340417523459e-03,9.827894886183938805e-01,-6.390464449587748064e+00,-2.543245466104981922e-02
