# t [yrs], x [au], y [au], vx [au/yrs], vy [au/yrs]
0.000000000000000000e+00,0.000000000000000000e+00,9.832899999999999974e-01,-6.389069387012315637e+00,0.000000000000000000e+00
2.999999999999999889e-02,-1.904783539505542633e-01,9.649754756589683513e-01,-6.270104616967316247e+00,-1.216968766785682332e+00
5.999999999999999778e-02,-3.738698158164488472e-01,9.107476339653737263e-01,-5.918293226079500258e+00,-2.386464950147315633e+00
8.999999999999999667e-02,-5.433891123679752688e-01,8.227161806165061986e-01,-5.348550802099637735e+00,-3.463365106713174768e+00
1.199999999999999956e-01,-6.928352099587643531e-01,7.042819518601397544e-01,-4.584713405774136774e+00,-4.407049052172843595e+00
1.499999999999999944e-01,-8.168387802153166399e-01,5.599738709792432267e-01,-3.658123231220914207e+00,-5.183191480426976305e+00
1.799999999999999933e-01,-9.110616110509038856e-01,3.952390939370222789e-01,-2.605866644201777937e+00,-5.765077217480683913e+00
2.099999999999999922e-01,-9.723400694426922453e-01,2.162015614277106590e-01,-1.468834785565188206e+00,-6.134389103553258060e+00
2.399999999999999911e-01,-9.987698048602713374e-01,2.940475823095134444e-02,-2.897712648440513572e-01,-6.281479406368407403e+00
2.700000000000000178e-01,-9.897334554196264289e-01,-1.584466376287159417e-01,8.885556112362258396e-01,-6.205185819317657447e+00
2.999999999999999889e-01,-9.458766625377873494e-01,-3.407338973458547970e-01,2.024958642736244041e+00,-5.912285373053724591e+00
3.299999999999999600e-01,-8.690399647987375742e-01,-5.111508985937172067e-01,3.081161937297337339e+00,-5.416692639787287433e+00
3.599999999999999867e-01,-7.621551343406223200e-01,-6.639041935149299078e-01,4.022841839630174832e+00,-4.738504947230163467e+00
3.900000000000000133e-01,-6.291144352032830289e-01,-7.938832535440210059e-01,4.820396147251360119e+00,-3.902981688335195987e+00
4.199999999999999845e-01,-4.746204226847248187e-01,-8.967999459454896183e-01,5.449479578920430889e+00,-2.939522545880566273e+00
4.499999999999999556e-01,-3.040225921204618986e-01,-9.692978785370098826e-01,5.891353243107497306e+00,-1.880685262248910972e+00
4.799999999999999822e-01,-1.231457220538839381e-01,-1.009033121493729146e+00,6.133096592908110267e+00,-7.612609630728006671e-01
5.100000000000000089e-01,6.188662009826709220e-02,-1.014728061073030485e+00,6.167724214058524446e+00,3.825938387378107208e-01
5.400000000000000355e-01,2.448310585080505919e-01,-9.861998904358179052e-01,5.994238926483535401e+00,1.514183477507958120e+00
5.699999999999999512e-01,4.195042674731930821e-01,-9.243646498024372660e-01,5.617638926254080900e+00,2.597081337497520792e+00
5.999999999999999778e-01,5.799624061726053048e-01,-8.312169503888664490e-01,5.048881525251371016e+00,3.595947268174206624e+00
6.300000000000000044e-01,7.206786730907468463e-01,-7.097847125305808413e-01,4.304790682792306811e+00,4.477379692666279887e+00
6.599999999999999201e-01,8.367169197453535601e-01,-5.640575765846100875e-01,3.407881151505040229e+00,5.210820835156602548e+00
6.899999999999999467e-01,9.238982599929068673e-01,-3.988872644134781043e-01,2.386060048908349884e+00,5.769521159586617820e+00
7.199999999999999734e-01,9.789563038721446064e-01,-2.198582350817603059e-01,1.272158730418986305e+00,6.131551749532933471e+00
7.500000000000000000e-01,9.996751862471819905e-01,-3.312763129337931156e-02,1.032460487493540580e-01,6.280831789324016867e+00
7.800000000000000266e-01,9.850031680945586787e-01,1.547651445690757244e-01,-1.080319349250540295e+00,6.208114308942217718e+00
8.099999999999999423e-01,9.351335424827369458e-01,3.371168236267162444e-01,-2.236123253886072249e+00,5.911849973084335019e+00
8.399999999999999689e-01,8.515441997782347006e-01,5.073015301651772058e-01,-3.321214465110755132e+00,5.398830276985444598e+00
8.699999999999999956e-01,7.369878138837586690e-01,6.590266904593604647e-01,-4.293868036398992949e+00,4.684503292773722904e+00
8.999999999999999112e-01,5.954264433655047650e-01,7.865922305311674467e-01,-5.115510252338077102e+00,3.792862198862450018e+00
9.299999999999999378e-01,4.319074763265288164e-01,8.851390485928535279e-01,-5.752680145836178482e+00,2.755832667638155264e+00
9.599999999999999645e-01,2.523821260526709631e-01,9.508711569505547967e-01,-6.178869956324683166e+00,1.612129865363972181e+00
9.899999999999999911e-01,6.347267253203048298e-02,9.812358697368859239e-01,-6.376073377077873694e+00,4.056148200889722055e-01
1.020000000000000018e+00,-1.278003301493408073e-01,9.750482697934006460e-01,-6.335882267065363393e+00,-8.167559075358787890e-01
